source_system,source_drug_identifier,source_drug_name,source_generic_name,target_rxcui,target_ndc,match_method,authoritative_source,confidence,review_status,reviewed_by,reviewed_at,notes
CMS_Dataset_2,1ST TIER UNIFINE PENTIPS,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",DEVICE_DME_SUPPLY,,manual_review,FDA_CDRH_Device_Registry,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:33:59Z,"Diabetic Medical Supply / Device (PEN NEEDLE, DIABETIC)"
CMS_Dataset_2,1ST TIER UNIFINE PENTIPS PLUS,1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",DEVICE_DME_SUPPLY,,manual_review,FDA_CDRH_Device_Registry,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:33:49Z,"Diabetic Medical Supply / Device (PEN NEEDLE, DIABETIC)"
CMS_Dataset_2,ABACAVIR,ABACAVIR,ABACAVIR SULFATE,1546894,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:18Z,Auto-mapped via NLM RxNav API (abacavir 600 MG / dolutegravir 50 MG / lamivudine 300 MG Oral Tablet [Triumeq])
CMS_Dataset_2,ABACAVIR,ABACAVIR,ABACAVIR SULFATE,213461,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:18Z,Auto-mapped via NLM RxNav API (abacavir 20 MG/ML Oral Solution [Ziagen])
CMS_Dataset_2,ABACAVIR,ABACAVIR,ABACAVIR SULFATE,2598352,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:18Z,Auto-mapped via NLM RxNav API (abacavir 60 MG / dolutegravir 5 MG / lamivudine 30 MG Tablet for Oral Suspension [Triumeq])
CMS_Dataset_2,ABACAVIR,ABACAVIR,ABACAVIR SULFATE,242679,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:18Z,Auto-mapped via NLM RxNav API (abacavir 300 MG Oral Tablet)
CMS_Dataset_2,ABACAVIR,ABACAVIR,ABACAVIR SULFATE,242680,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:18Z,Auto-mapped via NLM RxNav API (abacavir 20 MG/ML Oral Solution)
CMS_Dataset_2,ABACAVIR,ABACAVIR,ABACAVIR SULFATE,602393,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:18Z,Auto-mapped via NLM RxNav API (abacavir 600 MG / lamivudine 300 MG Oral Tablet)
CMS_Dataset_2,ABACAVIR-LAMIVUDINE,ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,602393,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:30:58Z,Auto-mapped via NLM RxNav API (abacavir 600 MG / lamivudine 300 MG Oral Tablet)
CMS_Dataset_2,ABILIFY,ABILIFY,ARIPIPRAZOLE,1602604,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:16Z,Auto-mapped via NLM RxNav API (1.5 ML aripiprazole 200 MG/ML Prefilled Syringe [Abilify])
CMS_Dataset_2,ABILIFY,ABILIFY,ARIPIPRAZOLE,1602607,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:16Z,Auto-mapped via NLM RxNav API (2 ML aripiprazole 200 MG/ML Prefilled Syringe [Abilify])
CMS_Dataset_2,ABILIFY,ABILIFY,ARIPIPRAZOLE,1659814,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:16Z,Auto-mapped via NLM RxNav API (aripiprazole 400 MG Injection [Abilify])
CMS_Dataset_2,ABILIFY,ABILIFY,ARIPIPRAZOLE,1659818,,exact_rxcui,NLM_RxNorm_API,1.00,approved,"Dr. Sarah Chen, PharmD",2026-08-14T09:31:16Z,Auto-mapped via NLM RxNav API (aripiprazole 300 MG Injection [Abilify])
